"Total retail sales, 2012 ($1,000)",(c),"3,138,231",,"1,516,437",,"5,960,155",,"1,298,554",,"162,406",,"1,539,382",
"Total retail sales per capita, 2012",(c),"$16,137 ",,"$10,943 ",,"$11,782 ",,"$22,998 ",,"$13,721 ",,"$91,363 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,28.6,,30.2,,21.8,,27.9,,19.3,,25.9,
"Median household income (in 2018 dollars), 2014-2018",,"$62,531 ",,"$73,360 ",,"$47,189 ",,"$85,423 ",,"$45,893 ",,"$98,813 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$34,900 ",,"$34,296 ",,"$22,277 ",,"$38,149 ",,"$22,218 ",,"$49,818 ",
"Persons in poverty, percent",,14.90%,,13.40%,,26.90%,,8.60%,,16.80%,,7.80%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"29,153",,"12,133",,"35,334",,"7,429",,824,,"3,842",
"Men-owned firms, 2012",,"16,696",,"6,320",,"17,898",,"3,477",,429,,"2,148",
"Women-owned firms, 2012",,"9,018",,"4,301",,"13,763",,"2,775",,199,,"1,076",
"Minority-owned firms, 2012",,"8,293",,"6,328",,"19,484",,"3,920",,135,,722,
"Nonminority-owned firms, 2012",,"19,640",,"5,255",,"14,375",,"3,186",,564,,"2,745",
"Veteran-owned firms, 2012",,"1,928",,819,,"2,595",,362,,97,,177,
"Nonveteran-owned firms, 2012",,"26,016",,"10,768",,"30,889",,"6,638",,671,,"3,208",
"Population per square mile, 2010",,"6,295.60",,"6,046.70",,"4,418.30",,"6,133.60",,"2,461.50",,"3,048.50",
"Land area in square miles, 2010",,30.45,,22.35,,111.96,,9.02,,4.85,,5.46,
FIPS Code,,"""0630000""",,"""0628000""",,"""0627000""",,"""0625380""",,"""0625296""",,"""0622412""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
