"Total accommodation and food services sales, 2012 ($1,000)",(c),D,,"167,894",,"147,888",,"45,655",,"224,780",,"74,544",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),D,,"468,289",,"1,405,040",,"212,558",,"635,514",,D,
"Total manufacturers shipments, 2012 ($1,000)",(c),D,,"665,736",,D,,D,,"679,167",,"2,387,392",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),D,,"314,649",,"433,958",,"73,199",,"1,489,661",,"233,766",
"Total retail sales, 2012 ($1,000)",(c),"98,523",,"1,710,866",,"1,147,542",,"441,863",,"2,205,647",,"808,120",
"Total retail sales per capita, 2012",(c),"$3,864 ",,"$14,217 ",,"$9,742 ",,"$27,778 ",,"$28,260 ",,"$13,262 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,25,,34.6,,35.6,,17.6,,24.3,,20.4,
"Median household income (in 2018 dollars), 2014-2018",,"$37,917 ",,"$50,691 ",,"$66,606 ",,"$47,135 ",,"$79,339 ",,"$52,546 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$12,031 ",,"$18,945 ",,"$29,885 ",,"$25,857 ",,"$36,982 ",,"$20,186 ",
"Persons in poverty, percent",,22.90%,,22.80%,,14.10%,,19.90%,,12.30%,,19.90%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,664,,"9,621",,"6,703",,"1,512",,"9,137",,"2,756",
"Men-owned firms, 2012",,285,,"4,447",,"3,026",,662,,"4,642",,"1,245",
"Women-owned firms, 2012",,197,,"4,304",,"2,929",,542,,"3,247",,"1,002",
"Minority-owned firms, 2012",,487,,"6,814",,"4,194",,216,,"3,876",,"1,187",
"Nonminority-owned firms, 2012",,151,,"2,530",,"2,148",,"1,125",,"4,777",,"1,345",
"Veteran-owned firms, 2012",,35,,711,,530,,45,,613,,253,
"Nonveteran-owned firms, 2012",,586,,"8,542",,"5,801",,"1,289",,"8,062",,"2,289",
"Population per square mile, 2010",,"2,710.10",,"1,583.90",,"3,780.20",,"3,442.20",,"6,816.50",,"2,832.10",
"Land area in square miles, 2010",,9.43,,73.18,,30.67,,4.67,,11.08,,20.93,
FIPS Code,,"""0683542""",,"""0682590""",,"""0681666""",,"""0681134""",,"""0680854""",,"""0680644""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
