"Households with a broadband Internet subscription, percent, 2014-2018",,96.50%,,74.70%,,92.80%,,87.60%,,88.50%,,88.00%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,96.60%,,80.30%,,91.00%,,82.00%,,88.30%,,90.10%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,77.20%,,11.60%,,42.80%,,27.00%,,28.50%,,35.70%,
"With a disability, under age 65 years, percent, 2014-2018",,2.30%,,12.80%,,10.90%,,5.60%,,10.00%,,7.40%,
"Persons  without health insurance, under age 65 years, percent",,2.60%,,11.80%,,10.40%,,6.80%,,13.30%,,6.30%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,54.60%,,48.80%,,64.10%,,66.60%,,63.10%,,63.30%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,44.80%,,43.70%,,61.10%,,60.00%,,59.40%,,57.70%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"3,029",,"112,102",,"65,425",,"224,951",,"21,883",,"74,646",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"5,637",,"433,322",,"74,923",,"1,383,326",,"26,252",,"331,086",
"Total manufacturers shipments, 2012 ($1,000)",(c),X,,"169,018",,"488,464",,"4,108,104",,"51,807",,"363,035",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),D,,"69,061",,"160,038",,"4,546,375",,"48,528",,"162,851",
"Total retail sales, 2012 ($1,000)",(c),D,,"845,512",,"222,102",,"1,765,733",,"95,898",,"688,202",
"Total retail sales per capita, 2012",(c),NA,,"$10,432 ",,"$19,415 ",,"$11,819 ",,"$7,188 ",,"$13,569 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,32.5,,34.3,,23.8,,33.3,,23,,33.5,
"Median household income (in 2018 dollars), 2014-2018",,"$250,000+",,"$39,179 ",,"$90,300 ",,"$80,093 ",,"$68,333 ",,"$92,674 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$139,283 ",,"$19,467 ",,"$52,349 ",,"$31,825 ",,"$31,949 ",,"$39,413 ",
"Persons in poverty, percent",,2.70%,,21.50%,,4.50%,,9.30%,,13.60%,,8.90%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"1,240",,"5,580",,"1,795",,"10,978",,"1,518",,"5,196",
"Men-owned firms, 2012",,675,,"2,673",,780,,"6,167",,816,,"2,803",
"Women-owned firms, 2012",,359,,"2,205",,492,,"3,421",,428,,"1,743",
"Minority-owned firms, 2012",,541,,"2,578",,292,,"6,869",,376,,"1,941",
"Nonminority-owned firms, 2012",,670,,"2,715",,"1,387",,"3,477",,"1,113",,"2,981",
"Veteran-owned firms, 2012",,64,,317,,64,,705,,170,,362,
"Nonveteran-owned firms, 2012",,"1,112",,"4,959",,"1,571",,"9,496",,"1,279",,"4,672",
"Population per square mile, 2010",,"1,748.80",,"2,824.60",,"2,525.00",,"3,181.30",,"5,695.20",,"2,582.00",
"Land area in square miles, 2010",,6.19,,27.85,,4.46,,45.32,,2.31,,19.39,
FIPS Code,,"""0633798""",,"""0633182""",,"""0633056""",,"""0633000""",,"""0631393""",,"""0630014""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
