Fact,Fact Note,"Walnut city, California","Value Note for Walnut city, California","Murrieta city, California","Value Note for Murrieta city, California","Fontana city, California","Value Note for Fontana city, California","Pleasant Hill city, California","Value Note for Pleasant Hill city, California",United States,Value Note for United States
"Median household income (in 2018 dollars), 2014-2018",,"$104,096 ",,"$84,817 ",,"$70,789 ",,"$110,137 ",,"$60,293 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$39,109 ",,"$32,030 ",,"$22,857 ",,"$52,062 ",,"$32,621 ",
"Persons in poverty, percent",,7.10%,,8.20%,,13.90%,,7.60%,,11.80%,
"Total employer establishments, 2018",,X,,X,,X,,X,,"7,912,405",
"Total employment, 2018",,X,,X,,X,,X,,"130,881,471",
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,"7,097,310,272",
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,1.80%,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,"26,485,532",
"All firms, 2012",,"4,688",,"8,723",,"13,990",,"3,803",,"27,626,360",
"Men-owned firms, 2012",,"2,430",,"4,321",,"7,376",,"1,796",,"14,844,597",
"Women-owned firms, 2012",,"1,529",,"3,158",,"5,321",,"1,522",,"9,878,397",
"Minority-owned firms, 2012",,"3,793",,"2,847",,"11,301",,"1,034",,"7,952,386",
"Nonminority-owned firms, 2012",,736,,"5,483",,"2,322",,"2,549",,"18,987,918",
"Veteran-owned firms, 2012",,246,,841,,717,,248,,"2,521,682",
"Nonveteran-owned firms, 2012",,"4,255",,"7,580",,"12,866",,"3,299",,"24,070,685",
"Population per square mile, 2010",,"3,244.20",,"3,081.50",,"4,620.80",,"4,687.80",,87.4,
"Land area in square miles, 2010",,8.99,,33.58,,42.43,,7.07,,"3,531,905.43",
FIPS Code,,"""0683332""",,"""0650076""",,"""0624680""",,"""0657764""",,"""1""",
,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,
,,,,,,,,,,,
Value Notes,,,,,,,,,,,
None,,,,,,,,,,,
,,,,,,,,,,,
Fact Notes,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,
,,,,,,,,,,,
Value Flags,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,
NA,Not available,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,
X,Not applicable,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,
