"Median selected monthly owner costs -without a mortgage, 2014-2018",,$749 ,,$453 ,,$398 ,,$504 ,,$766 ,,$510 ,
"Median gross rent, 2014-2018",,"$1,737 ",,"$1,488 ",,$909 ,,"$1,461 ",,"$1,998 ",,"$1,579 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"36,699",,"76,521",,"7,086",,"18,708",,"12,396",,"41,096",
"Persons per household, 2014-2018",,2.45,,4.3,,3.5,,2.45,,2.89,,2.64,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,81.00%,,90.30%,,92.30%,,67.10%,,90.40%,,85.50%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,34.50%,,80.60%,,60.20%,,17.00%,,33.10%,,27.30%,
"Households with a computer, percent, 2014-2018",,92.00%,,90.80%,,81.60%,,94.40%,,92.90%,,92.50%,
"Households with a broadband Internet subscription, percent, 2014-2018",,86.40%,,81.30%,,72.70%,,90.10%,,88.90%,,87.30%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,86.70%,,58.10%,,67.30%,,92.70%,,84.40%,,89.50%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,49.00%,,14.00%,,12.10%,,49.60%,,37.50%,,35.00%,
"With a disability, under age 65 years, percent, 2014-2018",,6.10%,,5.20%,,6.80%,,5.50%,,5.40%,,7.60%,
"Persons  without health insurance, under age 65 years, percent",,12.20%,,19.00%,,10.20%,,6.20%,,11.90%,,8.80%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,68.00%,,67.50%,,60.80%,,61.60%,,59.50%,,63.50%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,62.50%,,58.50%,,53.90%,,60.70%,,50.90%,,58.80%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"494,443",,"462,834",,"16,250",,"220,943",,"72,021",,"318,987",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"1,395,001",,"1,559,139",,"36,603",,"685,502",,"117,993",,"1,270,600",
"Total manufacturers shipments, 2012 ($1,000)",(c),"197,024",,"5,177,289",,"140,250",,"219,233",,"272,087",,"517,187",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"832,122",,"3,284,087",,"45,477",,"442,399",,"254,265",,"762,188",
"Total retail sales, 2012 ($1,000)",(c),"1,537,846",,"3,169,405",,"162,178",,"1,390,690",,"714,415",,"1,824,747",
"Total retail sales per capita, 2012",(c),"$17,156 ",,"$9,578 ",,"$6,601 ",,"$30,313 ",,"$20,204 ",,"$16,938 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,17,,25.3,,25.2,,15.8,,24,,25.7,
"Median household income (in 2018 dollars), 2014-2018",,"$74,798 ",,"$61,774 ",,"$45,020 ",,"$52,740 ",,"$87,353 ",,"$76,076 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$43,939 ",,"$19,517 ",,"$17,679 ",,"$31,917 ",,"$47,077 ",,"$36,359 ",
"Persons in poverty, percent",,13.20%,,17.70%,,30.70%,,31.80%,,9.70%,,10.20%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"14,520",,"26,432",,"1,234",,"5,579",,"4,827",,"11,799",
"Men-owned firms, 2012",,"7,486",,"14,240",,595,,"2,856",,"2,454",,"6,014",
"Women-owned firms, 2012",,"5,144",,"9,516",,485,,"1,654",,"1,575",,"4,133",
"Minority-owned firms, 2012",,"2,936",,"17,999",,835,,753,,"1,318",,"2,707",
"Nonminority-owned firms, 2012",,"10,795",,"7,295",,279,,"4,385",,"3,321",,"8,493",
"Veteran-owned firms, 2012",,"1,062",,"1,484",,79,,525,,242,,"1,024",
"Nonveteran-owned firms, 2012",,"12,533",,"23,806",,"1,121",,"4,590",,"4,281",,"9,953",
"Population per square mile, 2010",,"4,541.30",,"11,900.60",,"4,393.60",,"3,531.30",,"2,450.80",,"4,914.90",
"Land area in square miles, 2010",,19.47,,27.27,,5.52,,12.78,,14.12,,21.66,
FIPS Code,,"""0669070""",,"""0669000""",,"""0667056""",,"""0668154""",,"""0668028""",,"""0665042""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
