"Owner-occupied housing unit rate, 2014-2018",,64.80%,,71.70%,,60.50%,,71.70%,,64.20%,,61.20%,
"Median value of owner-occupied housing units, 2014-2018",,"$609,400 ",,"$688,200 ",,"$610,600 ",,"$919,700 ",,"$758,500 ",,"$259,900 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$2,727 ",,"$2,781 ",,"$2,732 ",,"$3,763 ",,"$2,992 ",,"$1,662 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$619 ,,$758 ,,$727 ,,$943 ,,$921 ,,$613 ,
"Median gross rent, 2014-2018",,"$1,731 ",,"$2,014 ",,"$2,180 ",,"$2,282 ",,"$1,939 ",,"$1,167 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"16,577",,"10,555",,"18,667",,"25,150",,"31,105",,"17,984",
"Persons per household, 2014-2018",,3.11,,2.91,,2.71,,2.99,,2.19,,2.98,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,89.20%,,87.90%,,85.20%,,86.20%,,83.90%,,89.40%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,37.50%,,32.80%,,29.10%,,43.30%,,26.50%,,54.80%,
"Households with a computer, percent, 2014-2018",,94.80%,,95.80%,,97.50%,,98.10%,,94.90%,,86.10%,
"Households with a broadband Internet subscription, percent, 2014-2018",,91.30%,,91.90%,,96.10%,,96.40%,,90.50%,,78.60%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,86.40%,,92.30%,,95.90%,,96.50%,,97.40%,,77.30%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,38.60%,,49.40%,,55.50%,,69.60%,,65.50%,,19.80%,
"With a disability, under age 65 years, percent, 2014-2018",,4.10%,,4.60%,,4.30%,,2.90%,,5.50%,,7.40%,
"Persons  without health insurance, under age 65 years, percent",,7.50%,,7.00%,,4.50%,,2.00%,,4.60%,,18.40%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,67.20%,,67.30%,,76.40%,,68.60%,,56.80%,,58.50%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,61.80%,,59.80%,,70.00%,,60.00%,,49.90%,,51.10%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"74,534",,"103,471",,"87,073",,"159,782",,"259,074",,"66,990",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"218,917",,"725,618",,"434,040",,"430,788",,"2,728,198",,"52,485",
"Total manufacturers shipments, 2012 ($1,000)",(c),"756,993",,"74,896",,"57,954",,D,,D,,"5,454",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"329,508",,"282,330",,"1,010,560",,"2,125,573",,"1,067,262",,"37,588",
"Total retail sales, 2012 ($1,000)",(c),"356,104",,"452,643",,"500,316",,"671,450",,"1,972,768",,"790,127",
"Total retail sales per capita, 2012",(c),"$6,891 ",,"$14,625 ",,"$10,109 ",,"$9,083 ",,"$30,029 ",,"$15,006 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,28.6,,24.7,,26.4,,38.1,,35.5,,20.5,
"Median household income (in 2018 dollars), 2014-2018",,"$89,690 ",,"$98,168 ",,"$108,558 ",,"$151,026 ",,"$96,851 ",,"$46,370 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$36,499 ",,"$48,377 ",,"$48,053 ",,"$60,326 ",,"$61,026 ",,"$25,744 ",
"Persons in poverty, percent",,9.00%,,8.70%,,4.20%,,3.60%,,6.20%,,20.70%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"4,841",,"5,115",,"5,818",,"7,423",,"9,270",,"5,272",
"Men-owned firms, 2012",,"2,199",,"2,753",,"2,975",,"3,450",,"4,831",,"3,040",
"Women-owned firms, 2012",,"1,869",,"1,517",,"2,239",,"2,742",,"3,079",,"1,746",
"Minority-owned firms, 2012",,"2,272",,"1,423",,"1,571",,"2,922",,"2,173",,"3,047",
"Nonminority-owned firms, 2012",,"2,350",,"3,439",,"4,017",,"4,079",,"6,514",,"2,028",
"Veteran-owned firms, 2012",,252,,424,,433,,519,,850,,387,
"Nonveteran-owned firms, 2012",,"4,363",,"4,398",,"5,133",,"6,522",,"7,789",,"4,758",
"Population per square mile, 2010",,"7,693.80",,"4,549.30",,"6,400.30",,"3,994.70",,"3,248.10",,"2,381.50",
"Land area in square miles, 2010",,6.57,,6.67,,7.47,,18.06,,19.76,,21.5,
FIPS Code,,"""0657526""",,"""0639220""",,"""0600947""",,"""0668378""",,"""0683346""",,"""0612048""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
