"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"4,060",,"38,244",,"3,193",,"1,552",,"6,587",,"1,169",
"Men-owned firms, 2012",,"2,485",,"20,054",,"1,462",,787,,"3,039",,489,
"Women-owned firms, 2012",,"1,086",,"14,348",,"1,235",,610,,"3,097",,454,
"Minority-owned firms, 2012",,"2,096",,"18,062",,642,,822,,"5,374",,602,
"Nonminority-owned firms, 2012",,"1,791",,"18,325",,"2,297",,654,,929,,466,
"Veteran-owned firms, 2012",,268,,"2,986",,193,,91,,441,,38,
"Nonveteran-owned firms, 2012",,"3,594",,"33,106",,"2,697",,"1,410",,"5,914",,"1,002",
"Population per square mile, 2010",,"7,505.30",,"4,764.20",,"5,850.50",,"5,542.00",,"4,437.00",,"4,758.90",
"Land area in square miles, 2010",,5.48,,97.92,,7,,4.09,,22.35,,5.08,
FIPS Code,,"""0665028""",,"""0664000""",,"""0662546""",,"""0661068""",,"""0660466""",,"""0660242""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
