"Total retail sales per capita, 2012",(c),"$8,543 ",,"$5,599 ",,"$20,460 ",,"$19,495 ",,"$5,978 ",,"$37,083 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,36.7,,42.6,,23.8,,28.6,,28.6,,24.8,
"Median household income (in 2018 dollars), 2014-2018",,"$59,141 ",,"$65,345 ",,"$61,105 ",,"$78,941 ",,"$53,031 ",,"$157,120 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$17,436 ",,"$22,474 ",,"$31,991 ",,"$45,306 ",,"$17,381 ",,"$89,205 ",
"Persons in poverty, percent",,20.20%,,14.80%,,11.20%,,15.70%,,18.70%,,5.90%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"4,701",,"1,355",,"3,508",,"19,718",,"4,955",,"9,483",
"Men-owned firms, 2012",,"2,323",,622,,"1,837",,"10,880",,"2,693",,"4,368",
"Women-owned firms, 2012",,"1,923",,647,,"1,085",,"6,460",,"1,818",,"3,354",
"Minority-owned firms, 2012",,"3,833",,782,,757,,"8,935",,"4,034",,"2,411",
"Nonminority-owned firms, 2012",,707,,525,,"2,547",,"9,492",,795,,"6,140",
"Veteran-owned firms, 2012",,215,,151,,299,,"1,384",,299,,634,
"Nonveteran-owned firms, 2012",,"4,343",,"1,138",,"2,957",,"17,116",,"4,483",,"8,029",
"Population per square mile, 2010",,"2,178.40",,"3,428.50",,"1,558.20",,"5,969.60",,"11,439.60",,"2,696.50",
"Land area in square miles, 2010",,31.39,,5.95,,19.12,,22.97,,4.73,,23.88,
FIPS Code,,"""0656700""",,"""0656112""",,"""0622300""",,"""0656000""",,"""0655618""",,"""0655282""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
