"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,72.50%,,61.70%,,54.70%,,48.90%,,56.70%,,57.40%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"114,986",,"213,058",,"33,140",,D,,"95,526",,"331,701",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"42,586",,"933,079",,"66,889",,"1,744",,"187,959",,"1,803,653",
"Total manufacturers shipments, 2012 ($1,000)",(c),D,,"568,568",,"102,255",,X,,"1,033,722",,"5,193,966",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"122,033",,"399,318",,"3,930",,D,,"2,980,886",,"13,487,395",
"Total retail sales, 2012 ($1,000)",(c),"161,197",,"1,790,690",,"348,804",,"8,314",,"621,113",,"2,617,892",
"Total retail sales per capita, 2012",(c),"$8,152 ",,"$20,415 ",,"$8,841 ",,"$1,140 ",,"$8,655 ",,"$11,793 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,33.8,,17.4,,32.7,,29.1,,34.6,,35,
"Median household income (in 2018 dollars), 2014-2018",,"$137,188 ",,"$47,359 ",,"$78,111 ",,"$70,884 ",,"$105,448 ",,"$127,374 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$92,921 ",,"$27,869 ",,"$27,958 ",,"$19,120 ",,"$38,484 ",,"$49,529 ",
"Persons in poverty, percent",,5.30%,,24.70%,,10.40%,,6.10%,,6.40%,,4.80%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"3,612",,"7,244",,"2,703",,312,,"5,211",,"18,784",
"Men-owned firms, 2012",,"1,978",,"3,546",,"1,204",,57,,"3,103",,"9,515",
"Women-owned firms, 2012",,"1,422",,"2,415",,"1,306",,177,,"1,488",,"6,706",
"Minority-owned firms, 2012",,613,,"1,005",,"1,243",,36,,"4,131",,"12,690",
"Nonminority-owned firms, 2012",,"2,867",,"5,788",,"1,343",,273,,882,,"5,223",
"Veteran-owned firms, 2012",,318,,724,,117,,F,,276,,845,
"Nonveteran-owned firms, 2012",,"3,192",,"5,988",,"2,475",,281,,"4,652",,"17,095",
"Population per square mile, 2010",,"13,669.20",,"2,617.80",,"1,193.00",,"1,661.70",,"3,570.60",,"2,763.90",
"Land area in square miles, 2010",,1.43,,32.92,,30.91,,4.77,,19.47,,77.46,
FIPS Code,,"""0633364""",,"""0613014""",,"""0604758""",,"""0636672""",,"""0681204""",,"""0626000""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
