"Median selected monthly owner costs -without a mortgage, 2014-2018",,$455 ,,$739 ,,"$1,447 ",,$705 ,,$849 ,,$527 ,
"Median gross rent, 2014-2018",,"$1,406 ",,"$2,231 ",,"$3,161 ",,"$1,720 ",,"$1,612 ",,"$1,491 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"50,620",,"6,456",,"3,948",,"30,365",,"44,978",,"31,727",
"Persons per household, 2014-2018",,4.04,,1.82,,2.86,,2.54,,2.4,,2.82,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,87.90%,,72.20%,,91.90%,,87.90%,,71.50%,,89.80%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,50.20%,,34.20%,,13.50%,,35.20%,,29.70%,,51.70%,
"Households with a computer, percent, 2014-2018",,93.60%,,95.80%,,97.40%,,94.70%,,95.90%,,90.70%,
"Households with a broadband Internet subscription, percent, 2014-2018",,87.10%,,89.90%,,96.10%,,89.00%,,89.60%,,84.70%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,76.70%,,96.30%,,99.20%,,90.50%,,96.30%,,82.10%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,16.10%,,70.70%,,82.90%,,52.40%,,73.00%,,30.00%,
"With a disability, under age 65 years, percent, 2014-2018",,7.10%,,5.40%,,2.40%,,6.10%,,6.10%,,6.70%,
"Persons  without health insurance, under age 65 years, percent",,13.00%,,4.10%,,1.90%,,4.50%,,4.20%,,6.90%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,63.50%,,72.60%,,61.70%,,66.50%,,61.90%,,66.00%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,55.70%,,65.70%,,52.90%,,63.30%,,59.80%,,61.70%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"191,935",,"148,203",,D,,"145,408",,"383,709",,"146,226",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"772,379",,"591,911",,D,,"270,774",,"1,251,235",,"697,362",
"Total manufacturers shipments, 2012 ($1,000)",(c),"233,335",,"2,318,570",,X,,"1,130,161",,D,,"1,833,515",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"544,857",,"1,555,476",,X,,"2,887,115",,"565,059",,"1,784,391",
"Total retail sales, 2012 ($1,000)",(c),"1,696,776",,"680,019",,"14,508",,"492,223",,"1,340,992",,"4,342,767",
"Total retail sales per capita, 2012",(c),"$8,503 ",,"$65,798 ",,"$1,332 ",,"$6,507 ",,"$11,620 ",,"$49,980 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,35.1,,33.5,,31.2,,33.9,,29.4,,33.2,
"Median household income (in 2018 dollars), 2014-2018",,"$63,572 ",,"$100,568 ",,"$210,889 ",,"$98,150 ",,"$80,912 ",,"$70,723 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$20,650 ",,"$66,046 ",,"$104,227 ",,"$48,791 ",,"$48,229 ",,"$34,185 ",
"Persons in poverty, percent",,15.90%,,13.60%,,2.70%,,8.10%,,20.00%,,9.90%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"13,199",,"1,976",,"1,637",,"8,319",,"15,292",,"8,638",
"Men-owned firms, 2012",,"6,262",,"1,037",,884,,"4,128",,"7,660",,"4,578",
"Women-owned firms, 2012",,"5,987",,665,,470,,"3,101",,"5,935",,"2,884",
"Minority-owned firms, 2012",,"10,451",,556,,534,,"3,244",,"3,681",,"5,493",
"Nonminority-owned firms, 2012",,"2,423",,"1,178",,"1,032",,"4,704",,"10,819",,"2,713",
"Veteran-owned firms, 2012",,916,,98,,112,,772,,998,,614,
"Nonveteran-owned firms, 2012",,"11,904",,"1,654",,"1,454",,"7,086",,"13,522",,"7,473",
"Population per square mile, 2010",,"3,771.10",,"8,089.90",,"6,357.00",,"6,956.20",,"10,752.60",,"6,366.60",
"Land area in square miles, 2010",,51.27,,1.25,,1.68,,10.61,,10.47,,13.34,
FIPS Code,,"""0649270""",,"""0622594""",,"""0656938""",,"""0600562""",,"""0606000""",,"""0668084""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
