"Persons per household, 2014-2018",,2.67,,2.76,,2.71,,2.17,,4.49,,2.39,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,88.30%,,90.00%,,82.30%,,84.50%,,85.50%,,90.60%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,39.80%,,23.00%,,57.80%,,15.40%,,62.80%,,19.80%,
"Households with a computer, percent, 2014-2018",,94.50%,,94.60%,,96.20%,,91.60%,,84.40%,,93.10%,
"Households with a broadband Internet subscription, percent, 2014-2018",,89.30%,,92.10%,,91.50%,,87.20%,,75.20%,,88.50%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,94.20%,,93.20%,,92.30%,,91.10%,,58.00%,,98.70%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,50.50%,,49.80%,,63.70%,,43.20%,,7.00%,,62.40%,
"With a disability, under age 65 years, percent, 2014-2018",,5.00%,,5.70%,,3.10%,,7.40%,,5.10%,,3.90%,
"Persons  without health insurance, under age 65 years, percent",,5.80%,,6.40%,,4.30%,,6.30%,,11.60%,,4.90%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,63.50%,,64.50%,,70.90%,,59.70%,,33.30%,,63.00%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,56.70%,,57.10%,,60.30%,,54.50%,,45.00%,,55.60%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"498,141",,"378,468",,"349,109",,"103,166",,D,,"8,511",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"2,170,054",,"1,050,967",,"552,437",,"149,750",,D,,"26,694",
"Total manufacturers shipments, 2012 ($1,000)",(c),"11,915,182",,"1,238,778",,"10,930,684",,"478,756",,D,,"4,454",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"9,142,932",,"5,097,661",,"9,873,234",,"95,362",,"55,376",,"31,771",
"Total retail sales, 2012 ($1,000)",(c),"3,783,674",,"2,880,594",,"1,692,986",,"245,077",,"79,068",,"36,997",
"Total retail sales per capita, 2012",(c),"$25,735 ",,"$22,432 ",,"$11,580 ",,"$22,590 ",,"$2,986 ",,"$3,358 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,28.9,,26.3,,24.7,,29,,23,,30.1,
"Median household income (in 2018 dollars), 2014-2018",,"$90,309 ",,"$105,485 ",,"$131,791 ",,"$79,576 ",,"$60,616 ",,"$96,630 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$43,272 ",,"$50,747 ",,"$62,891 ",,"$50,461 ",,"$13,467 ",,"$59,521 ",
"Persons in poverty, percent",,7.00%,,5.50%,,5.80%,,11.20%,,13.00%,,5.70%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"19,410",,"17,027",,"12,588",,"2,122",,486,,"1,812",
"Men-owned firms, 2012",,"10,524",,"9,055",,"6,451",,817,,173,,912,
"Women-owned firms, 2012",,"6,017",,"5,427",,"4,383",,857,,174,,683,
"Minority-owned firms, 2012",,"9,742",,"3,642",,"6,504",,216,,347,,557,
"Nonminority-owned firms, 2012",,"8,339",,"12,679",,"5,244",,"1,706",,110,,"1,220",
"Veteran-owned firms, 2012",,"1,397",,"1,249",,477,,107,,F,,139,
"Nonveteran-owned firms, 2012",,"16,912",,"14,969",,"11,435",,"1,858",,404,,"1,601",
"Population per square mile, 2010",,"7,102.20",,"2,302.00",,"6,371.10",,"3,883.30",,"5,831.00",,"3,696.90",
"Land area in square miles, 2010",,20.48,,55.03,,21.99,,2.74,,4.41,,2.95,
FIPS Code,,"""0680000""",,"""0678582""",,"""0677000""",,"""0672646""",,"""0672520""",,"""0671806""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
