"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$3,539 ",,"$2,204 ",,"$2,759 ",,"$2,434 ",,"$1,612 ",,"$2,971 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$844 ,,$543 ,,$658 ,,$626 ,,$476 ,,$695 ,
"Median gross rent, 2014-2018",,"$2,314 ",,"$1,464 ",,"$1,711 ",,"$1,469 ",,"$1,122 ",,"$2,241 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"33,707",,"4,792",,"11,596",,"12,993",,"72,106",,"22,637",
"Persons per household, 2014-2018",,2.39,,2.18,,2.23,,2.83,,2.89,,3.33,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,79.80%,,86.70%,,74.50%,,90.50%,,84.90%,,85.90%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,47.40%,,12.70%,,23.50%,,42.10%,,36.30%,,67.20%,
"Households with a computer, percent, 2014-2018",,96.50%,,89.90%,,91.40%,,90.50%,,91.20%,,96.80%,
"Households with a broadband Internet subscription, percent, 2014-2018",,91.40%,,81.40%,,88.90%,,83.90%,,84.20%,,93.50%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,93.40%,,91.10%,,92.90%,,89.30%,,82.10%,,88.20%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,68.50%,,37.40%,,52.40%,,36.40%,,18.90%,,47.80%,
"With a disability, under age 65 years, percent, 2014-2018",,3.90%,,10.70%,,4.70%,,5.20%,,10.10%,,3.50%,
"Persons  without health insurance, under age 65 years, percent",,6.20%,,9.30%,,7.80%,,9.20%,,7.80%,,3.10%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,73.90%,,52.80%,,55.50%,,69.10%,,60.00%,,65.60%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,66.60%,,46.60%,,54.80%,,64.30%,,53.10%,,58.70%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"296,343",,"59,343",,"416,336",,"109,293",,"390,955",,"320,358",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"1,545,662",,"26,685",,"827,865",,"159,020",,"2,641,840",,"379,134",
"Total manufacturers shipments, 2012 ($1,000)",(c),"824,954",,D,,"116,862",,"719,581",,D,,"4,539,298",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"2,021,592",,D,,"1,263,983",,"545,258",,"2,459,520",,"4,031,646",
"Total retail sales, 2012 ($1,000)",(c),"1,222,564",,"115,591",,"464,534",,"779,419",,"2,347,633",,"1,132,701",
"Total retail sales per capita, 2012",(c),"$15,956 ",,"$11,147 ",,"$16,017 ",,"$21,091 ",,"$11,534 ",,"$16,464 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,23.4,,20.7,,16.1,,31.5,,28.2,,28.2,
"Median household income (in 2018 dollars), 2014-2018",,"$128,252 ",,"$66,404 ",,"$77,562 ",,"$73,170 ",,"$57,233 ",,"$125,161 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$73,924 ",,"$35,852 ",,"$44,941 ",,"$37,260 ",,"$26,458 ",,"$43,551 ",
"Persons in poverty, percent",,7.00%,,9.80%,,11.20%,,7.90%,,15.90%,,7.30%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"8,859",,"1,241",,"3,866",,"4,263",,"13,728",,"6,265",
"Men-owned firms, 2012",,"4,491",,637,,"2,119",,"2,287",,"6,716",,"2,919",
"Women-owned firms, 2012",,"3,115",,422,,"1,079",,"1,526",,"4,767",,"2,364",
"Minority-owned firms, 2012",,"3,226",,189,,628,,"1,722",,"5,115",,"4,765",
"Nonminority-owned firms, 2012",,"5,215",,999,,"2,914",,"2,330",,"7,895",,"1,117",
"Veteran-owned firms, 2012",,552,,36,,309,,303,,"1,396",,260,
"Nonveteran-owned firms, 2012",,"7,740",,"1,077",,"3,189",,"3,782",,"11,554",,"5,642",
"Population per square mile, 2010",,"6,174.70",,"1,929.90",,"3,284.90",,"2,689.50",,"5,456.50",,"4,914.30",
"Land area in square miles, 2010",,12,,5.3,,8.47,,13.61,,36.87,,13.59,
FIPS Code,,"""0649670""",,"""0649362""",,"""0648872""",,"""0648648""",,"""0648354""",,"""0647766""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
