"Households with a computer, percent, 2014-2018",,92.10%,,98.30%,,93.10%,,95.00%,,95.30%,,97.20%,
"Households with a broadband Internet subscription, percent, 2014-2018",,87.10%,,96.60%,,87.70%,,92.60%,,92.70%,,94.20%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,83.60%,,98.10%,,85.40%,,98.90%,,98.20%,,99.00%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,27.80%,,73.10%,,50.40%,,77.00%,,67.80%,,73.60%,
"With a disability, under age 65 years, percent, 2014-2018",,9.70%,,3.50%,,4.70%,,3.90%,,3.20%,,3.60%,
"Persons  without health insurance, under age 65 years, percent",,11.10%,,1.50%,,9.60%,,0.90%,,1.40%,,0.80%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,64.10%,,71.30%,,66.50%,,61.10%,,73.20%,,61.10%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,57.70%,,66.80%,,60.00%,,52.80%,,64.90%,,49.60%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"41,713",,"30,501",,"163,381",,"42,631",,"62,000",,"31,715",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"31,515",,"19,591",,"858,467",,"64,719",,"68,855",,"15,788",
"Total manufacturers shipments, 2012 ($1,000)",(c),D,,"2,954",,"157,761",,D,,D,,D,
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"45,927",,"14,450",,"763,506",,"21,837",,D,,"7,995",
"Total retail sales, 2012 ($1,000)",(c),"208,952",,"121,241",,"1,756,985",,"194,666",,"1,486,775",,"17,309",
"Total retail sales per capita, 2012",(c),"$10,317 ",,"$9,706 ",,"$30,033 ",,"$13,749 ",,"$158,556 ",,"$1,904 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,24.3,,33.4,,28.9,,34.9,,35.6,,31.2,
"Median household income (in 2018 dollars), 2014-2018",,"$62,803 ",,"$125,189 ",,"$87,262 ",,"$158,839 ",,"$147,587 ",,"$163,865 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$29,686 ",,"$72,656 ",,"$53,559 ",,"$110,808 ",,"$76,803 ",,"$113,424 ",
"Persons in poverty, percent",,11.20%,,3.70%,,13.30%,,4.70%,,3.30%,,2.60%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"1,223",,"1,692",,"9,856",,"3,051",,"2,032",,"1,509",
"Men-owned firms, 2012",,597,,565,,"4,920",,"1,383",,"1,072",,887,
"Women-owned firms, 2012",,442,,912,,"3,657",,"1,384",,770,,496,
"Minority-owned firms, 2012",,671,,157,,"1,880",,279,,289,,142,
"Nonminority-owned firms, 2012",,499,,"1,451",,"7,301",,"2,672",,"1,616",,"1,273",
"Veteran-owned firms, 2012",,154,,81,,725,,198,,202,,146,
"Nonveteran-owned firms, 2012",,"1,001",,"1,529",,"8,493",,"2,758",,"1,742",,"1,230",
"Population per square mile, 2010",,"2,219.70",,"4,608.10",,"3,504.10",,"2,919.00",,"2,924.50",,"2,015.70",
"Land area in square miles, 2010",,8.88,,2.68,,16.47,,4.76,,3.16,,4.45,
FIPS Code,,"""0645778""",,"""0664434""",,"""0668364""",,"""0647710""",,"""0616462""",,"""0678666""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
