"Persons per household, 2014-2018",,3.41,,2.83,,2.48,,3.7,,2.57,,2.71,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,85.50%,,84.90%,,88.40%,,89.50%,,86.00%,,85.80%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,43.50%,,16.20%,,26.50%,,62.60%,,34.90%,,38.70%,
"Households with a computer, percent, 2014-2018",,92.80%,,95.00%,,92.30%,,87.10%,,95.40%,,94.40%,
"Households with a broadband Internet subscription, percent, 2014-2018",,86.20%,,91.00%,,90.00%,,75.80%,,91.50%,,88.50%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,80.30%,,93.40%,,93.00%,,72.30%,,95.60%,,84.90%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,22.60%,,28.90%,,45.70%,,15.80%,,64.60%,,40.00%,
"With a disability, under age 65 years, percent, 2014-2018",,7.30%,,6.90%,,6.40%,,6.10%,,5.10%,,5.10%,
"Persons  without health insurance, under age 65 years, percent",,11.90%,,5.80%,,4.90%,,14.40%,,2.20%,,13.90%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,63.40%,,64.30%,,64.90%,,64.30%,,67.20%,,72.30%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,57.00%,,58.10%,,58.30%,,57.40%,,61.10%,,65.40%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"516,559",,"85,066",,"98,884",,"82,158",,"58,035",,"530,564",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"2,611,813",,"92,074",,"347,925",,"183,997",,"34,222",,"409,897",
"Total manufacturers shipments, 2012 ($1,000)",(c),"2,802,939",,D,,D,,"121,294",,D,,"1,541,442",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"2,747,573",,"152,705",,"450,363",,"225,979",,D,,"17,724,340",
"Total retail sales, 2012 ($1,000)",(c),"4,127,390",,"749,990",,"834,254",,"1,003,479",,"292,341",,"3,815,534",
"Total retail sales per capita, 2012",(c),"$13,158 ",,"$13,552 ",,"$15,652 ",,"$26,739 ",,"$11,035 ",,"$34,092 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,30.5,,27.6,,33.7,,30.9,,29.6,,22.7,
"Median household income (in 2018 dollars), 2014-2018",,"$65,313 ",,"$83,533 ",,"$96,743 ",,"$58,012 ",,"$135,342 ",,"$79,207 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$25,012 ",,"$33,978 ",,"$52,236 ",,"$19,406 ",,"$70,415 ",,"$39,028 ",
"Persons in poverty, percent",,15.60%,,6.60%,,7.90%,,17.00%,,4.20%,,13.00%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"24,046",,"3,648",,"6,415",,"3,184",,"3,074",,"15,768",
"Men-owned firms, 2012",,"12,152",,"1,850",,"3,236",,"1,729",,"1,562",,"8,874",
"Women-owned firms, 2012",,"9,203",,"1,338",,"2,165",,"1,066",,"1,044",,"5,050",
"Minority-owned firms, 2012",,"12,088",,972,,"1,200",,"2,247",,969,,"4,231",
"Nonminority-owned firms, 2012",,"10,841",,"2,431",,"4,848",,743,,"1,965",,"10,662",
"Veteran-owned firms, 2012",,"2,045",,396,,564,,163,,317,,961,
"Nonveteran-owned firms, 2012",,"21,012",,"3,004",,"5,370",,"2,827",,"2,559",,"13,901",
"Population per square mile, 2010",,"3,745.00",,"3,290.00",,"1,891.50",,"6,645.60",,"5,590.80",,"7,024.40",
"Land area in square miles, 2010",,81.14,,16.23,,27.44,,5.52,,4.62,,15.65,
FIPS Code,,"""0662000""",,"""0670224""",,"""0652582""",,"""0648788""",,"""0605108""",,"""0616532""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
