"Median household income (in 2018 dollars), 2014-2018",,"$72,814 ",,"$103,771 ",,"$42,687 ",,"$103,403 ",,"$99,018 ",,"$41,038 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$28,224 ",,"$39,138 ",,"$17,718 ",,"$84,147 ",,"$50,793 ",,"$20,419 ",
"Persons in poverty, percent",,13.60%,,6.60%,,31.80%,,9.50%,,7.00%,,23.20%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"7,048",,"4,106",,"1,481",,"15,383",,"2,737",,"2,077",
"Men-owned firms, 2012",,"3,967",,"2,148",,768,,"8,361",,"1,135",,"1,202",
"Women-owned firms, 2012",,"2,320",,"1,463",,596,,"4,425",,"1,036",,704,
"Minority-owned firms, 2012",,"4,924",,"1,136",,"1,008",,"2,270",,639,,953,
"Nonminority-owned firms, 2012",,"1,838",,"2,797",,435,,"12,056",,"1,827",,"1,074",
"Veteran-owned firms, 2012",,424,,433,,110,,953,,225,,245,
"Nonveteran-owned firms, 2012",,"6,256",,"3,477",,"1,277",,"13,312",,"2,285",,"1,755",
"Population per square mile, 2010",,"7,652.00",,"3,481.70",,"3,248.20",,"5,975.60",,"2,088.10",,"1,281.60",
"Land area in square miles, 2010",,10.52,,14.79,,7.68,,5.71,,12.93,,23.1,
FIPS Code,,"""0608786""",,"""0608142""",,"""0608058""",,"""0606308""",,"""0605290""",,"""0603820""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
