"Owner-occupied housing unit rate, 2014-2018",,41.10%,,47.60%,,32.50%,,72.10%,,66.30%,,76.50%,
"Median value of owner-occupied housing units, 2014-2018",,"$755,000 ",,"$360,800 ",,"$476,500 ",,"$547,500 ",,"$605,600 ",,"$314,700 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$2,514 ",,"$1,980 ",,"$2,260 ",,"$2,402 ",,"$2,478 ",,"$1,894 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$524 ,,$561 ,,$468 ,,$640 ,,$524 ,,$453 ,
"Median gross rent, 2014-2018",,"$1,800 ",,"$1,441 ",,"$1,413 ",,"$1,727 ",,"$1,834 ",,"$1,462 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"4,184",,"10,910",,"9,822",,"11,479",,"15,824",,"28,586",
"Persons per household, 2014-2018",,2.73,,3.51,,3.34,,2.91,,3.08,,3.09,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,84.60%,,91.00%,,91.50%,,87.40%,,90.80%,,84.70%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,22.40%,,68.00%,,66.80%,,29.40%,,38.50%,,25.60%,
"Households with a computer, percent, 2014-2018",,95.30%,,89.90%,,93.60%,,92.40%,,96.00%,,91.80%,
"Households with a broadband Internet subscription, percent, 2014-2018",,90.30%,,83.50%,,85.90%,,87.40%,,89.60%,,86.80%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,90.70%,,70.00%,,72.90%,,93.00%,,92.90%,,86.70%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,46.30%,,16.60%,,17.90%,,37.00%,,42.20%,,19.10%,
"With a disability, under age 65 years, percent, 2014-2018",,5.60%,,7.20%,,6.90%,,7.90%,,5.50%,,9.00%,
"Persons  without health insurance, under age 65 years, percent",,7.60%,,13.10%,,16.00%,,4.40%,,6.20%,,8.10%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,64.50%,,64.40%,,69.10%,,60.60%,,63.70%,,55.80%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,60.60%,,55.00%,,61.10%,,55.90%,,57.30%,,49.30%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"56,255",,"52,938",,"38,019",,"71,516",,"88,290",,"75,414",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"427,159",,D,,"34,696",,"180,317",,"169,842",,"131,702",
"Total manufacturers shipments, 2012 ($1,000)",(c),"469,173",,"101,644",,D,,D,,"588,056",,"61,775",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"450,052",,D,,"39,167",,"303,979",,"3,767,207",,"39,760",
"Total retail sales, 2012 ($1,000)",(c),"170,848",,"386,502",,"208,359",,"538,390",,"613,959",,"417,316",
"Total retail sales per capita, 2012",(c),"$14,642 ",,"$9,932 ",,"$6,291 ",,"$15,958 ",,"$12,587 ",,"$5,122 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,29.9,,29.1,,26.6,,33.1,,31.7,,42,
"Median household income (in 2018 dollars), 2014-2018",,"$84,068 ",,"$56,506 ",,"$58,447 ",,"$84,749 ",,"$92,098 ",,"$65,757 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$38,163 ",,"$21,445 ",,"$23,283 ",,"$36,900 ",,"$37,262 ",,"$27,680 ",
"Persons in poverty, percent",,9.10%,,18.90%,,13.90%,,8.60%,,5.80%,,9.90%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"1,951",,"2,620",,"3,320",,"3,286",,"4,424",,"5,235",
"Men-owned firms, 2012",,"1,057",,"1,345",,"1,703",,"1,655",,"2,361",,"2,496",
"Women-owned firms, 2012",,534,,997,,"1,349",,"1,102",,"1,433",,"2,028",
"Minority-owned firms, 2012",,460,,"1,868",,"2,292",,"1,286",,"2,216",,"1,790",
"Nonminority-owned firms, 2012",,"1,257",,634,,928,,"1,793",,"1,909",,"3,329",
"Veteran-owned firms, 2012",,197,,126,,196,,204,,238,,524,
"Nonveteran-owned firms, 2012",,"1,568",,"2,424",,"3,082",,"2,871",,"3,943",,"4,413",
"Population per square mile, 2010",,"2,826.90",,"12,122.50",,"16,600.30",,"2,219.30",,"7,263.60",,"1,668.30",
"Land area in square miles, 2010",,4.05,,3.15,,1.97,,15.04,,6.58,,46.47,
FIPS Code,,"""0643224""",,"""0673962""",,"""0640886""",,"""0666070""",,"""0617750""",,"""0646842""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
