"Households with a broadband Internet subscription, percent, 2014-2018",,78.30%,,93.50%,,88.20%,,90.80%,,82.20%,,83.60%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,70.90%,,93.50%,,77.90%,,93.20%,,71.30%,,91.00%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,11.60%,,46.00%,,21.10%,,52.00%,,9.40%,,41.50%,
"With a disability, under age 65 years, percent, 2014-2018",,8.80%,,3.80%,,5.00%,,4.10%,,8.60%,,5.70%,
"Persons  without health insurance, under age 65 years, percent",,6.40%,,5.10%,,10.00%,,6.30%,,7.20%,,8.40%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,48.50%,,65.40%,,52.30%,,56.20%,,62.10%,,66.10%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,63.10%,,56.40%,,57.90%,,51.90%,,52.90%,,60.80%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"13,325",,"114,462",,"127,699",,D,,"52,012",,"532,939",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"25,727",,D,,"272,474",,"283,035",,"45,569",,"1,101,447",
"Total manufacturers shipments, 2012 ($1,000)",(c),D,,D,,"1,465,107",,"509,793",,"90,117",,"1,269,222",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),D,,"203,496",,"3,872,870",,"5,454,511",,"281,933",,"4,628,564",
"Total retail sales, 2012 ($1,000)",(c),"110,455",,"635,643",,"1,188,894",,"2,479,881",,"443,726",,"2,316,763",
"Total retail sales per capita, 2012",(c),"$6,579 ",,"$8,314 ",,"$14,831 ",,"$49,968 ",,"$9,706 ",,"$22,193 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,18.7,,39.6,,34.2,,34.5,,29.4,,28.4,
"Median household income (in 2018 dollars), 2014-2018",,"$61,026 ",,"$104,590 ",,"$79,477 ",,"$99,528 ",,"$54,109 ",,"$73,277 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$21,474 ",,"$37,492 ",,"$23,360 ",,"$38,671 ",,"$18,339 ",,"$40,282 ",
"Persons in poverty, percent",,21.80%,,7.00%,,11.00%,,4.90%,,15.60%,,10.80%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,551,,"6,954",,"7,436",,"6,005",,"2,704",,"17,587",
"Men-owned firms, 2012",,235,,"3,701",,"3,933",,"2,925",,"1,523",,"9,727",
"Women-owned firms, 2012",,222,,"2,216",,"2,335",,"2,008",,"1,013",,"5,733",
"Minority-owned firms, 2012",,298,,"4,471",,"4,887",,"4,278",,"1,831",,"5,313",
"Nonminority-owned firms, 2012",,201,,"2,239",,"2,074",,"1,206",,761,,"11,318",
"Veteran-owned firms, 2012",,49,,346,,470,,193,,133,,"1,241",
"Nonveteran-owned firms, 2012",,446,,"6,305",,"6,574",,"5,352",,"2,472",,"15,505",
"Population per square mile, 2010",,"2,186.60",,"1,674.10",,"2,631.10",,"5,620.70",,"5,669.30",,"5,959.30",
"Land area in square miles, 2010",,6.12,,44.68,,29.64,,8.73,,8.01,,17.34,
FIPS Code,,"""0614274""",,"""0613214""",,"""0613210""",,"""0612552""",,"""0612524""",,"""0608954""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
