"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,26.1,,26.4,,24.9,,23.5,,21.7,,27.6,
"Median household income (in 2018 dollars), 2014-2018",,"$71,227 ",,"$104,522 ",,"$70,403 ",,"$73,505 ",,"$101,520 ",,"$51,838 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$64,138 ",,"$99,206 ",,"$43,529 ",,"$40,569 ",,"$57,093 ",,"$23,587 ",
"Persons in poverty, percent",,12.00%,,6.80%,,8.50%,,8.00%,,5.70%,,20.00%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"2,376",,514,,"1,508",,"1,528",,"2,285",,"1,687",
"Men-owned firms, 2012",,"1,484",,335,,737,,879,,880,,710,
"Women-owned firms, 2012",,499,,81,,498,,416,,"1,073",,807,
"Minority-owned firms, 2012",,375,,F,,171,,461,,495,,"1,001",
"Nonminority-owned firms, 2012",,"1,779",,415,,"1,262",,999,,"1,708",,631,
"Veteran-owned firms, 2012",,307,,F,,67,,74,,257,,133,
"Nonveteran-owned firms, 2012",,"1,925",,414,,"1,363",,"1,385",,"1,926",,"1,468",
"Population per square mile, 2010",,704.3,,346.2,,"1,701.10",,"5,042.50",,"2,384.60",,"6,326.40",
"Land area in square miles, 2010",,24.45,,14.32,,4.39,,2.59,,7.93,,4.16,
FIPS Code,,"""0659500""",,"""0636434""",,"""0653476""",,"""0611446""",,"""0616378""",,"""0636294""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
