City Name,Incorporation Date,1980-2019 Number Annexations,1980-2019 Acreage Annexed,Closest Incorp Year Pop Data,Percent Change Pop (Incorp to 2018),"Government Structure (Council Manager, Strong Mayor Council, Weak Mayor Council, City Commission)",City Type (Charter or General Law),"Population Estimate
 (as of July 1, 2018)",Hispanic or Latino (%),"White alone, Not Hispanic or Latino (%)","Black alone, Not Hispanic or Latino (%)","American Indian and Alaska Native alone, Not Hispanic or Latino (%)","Asian alone, Not Hispanic or Latino (%)","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino (%)","Some other race alone, Not Hispanic or Latino (%)","Two or more races alone, Not Hispanic or Latino (%)","Household Income < $10,000 (%)","Household Income $10,000 - $14,999 (%)","Household income $15,000 to $24,999 (%)","Household Income $25,000 to $34,999 (%)","Household Income $35,000 to $49,999 (%)","Household Income $50,000 to $74,999 (%)","Household Income $75,000 to $99,999 (%)","Household Income $100,000 to $149,999 (%) ","Household Income $150,000 to $199,999 (%)","Household Income $200,000 or more (%)",Household Median income (dollars),Household Mean income (dollars),Percent Democratic,Enterprise Data- Water Services Provided by Other Agencies,No Match- Other Service Ent. Data to City Web data,"Four System Categories (1=City, 2=IOU, 3=SD, 4=Multiple/Mutual/Other City)",Number of System Types for Multiple Systems,Multiple System Types,System Type,Number of Water Systems,Water Systems,% of customers served outside of local jurisdiction boundaries, Has your jurisdiction adopted programs and/or policies to improve water use efficiency?,Retrofit requirements for commercial buildings at re-sale,Retrofit requirements for residential buildings at re-sale,Regulations that prohibit development projects that would result in a net increase in water use,Ordinances for recycled water,Ordinances or landscaping standards,Development standards that require or promote low-impact development (LID),"Residential water use restrictions (e.g., limited landscape watering times)","Commercial water use restrictions (e.g., limited landscape watering times)",Requirements for water metering at residential developments,Number of Sewer Systems,Sewer Systems,Number of Trash Collectors,Trash Services,,Overall Risk Designation,Overall Rank,Overall Points,Liquidity Points,Debt Burden Points,General Fund Reserves Points,Revenue Trends Points,Pension Obligations Points,Pension Funding Points,Pension Costs Points,Future Pension Costs Points,OPEB Obligations Points,OPEB Funding Points,OpRev_2018 (Water),OpExp_2018 (Water),NonOpRev_2018 (Water),NonOpEx_2018 (Water),TransfIn (Water),TransfOut (Water),Total Income (Water) ,Total Transfers In/Out (Water),Total Tranfers / Total Income (Water),OpRev_2018 (Sewer),OpExp_2018 (Sewer),NonOpRev_2018 (Sewer),NonOpEx_2018 (Sewer),TransfIn (Sewer),TransfOut (Sewer),Total Income (Sewer),Total In/Out (Sewer) ,Tranfers / Total Income (Sewer),OpRev_2018 (Solid Waste),OpExp_2018 (Solid Waste),NonOpRev_2018 (Solid Waste),NonOpEx_2018 (Solid Waste),TransfIn (Solid Waste),TransfOut (Solid Waste),Total Income (Solid Waste) ,Transfers In/Out (Solid Waste),Total Tranfers / Total Income (Solid Waste),OpRev_2018 (Electric ),OpExp_2018 (Electric),NonOpRev_2018 (Electric),NonOpEx_2018 (Electric),TransfIn (Electric),TransfOut (Electric ),Total Income (Electric) ,Transfers In/Out (Electric),Total Tranfers / Total Income (Electric),OpRev_2018 (Gas),OpExp_2018 (Gas),NonOpRev_2018 (Gas),NonOpEx_2018 (Gas),TransfIn (Gas),TransfOut (Gas),Total Income (Gas),Transfers In/Out (Gas),% Tranfers to Total Income (Gas),Total # Enterprise Funds (Excluding Water),Total # Enterprise Finds (With Water EF included ),Water EF (Y/N),Binary City Run or No,,City Run Water With NO EF,Water EF with No City Run System,Total Revenue Gov Funds,Total Revenue Proprietary Funds        ,Total Expenditures Gov Funds        ,Total Expenditures Proprietary Funds,Revenues Less Expenditures of Gov Funds,"Income Before Capital Contributions, Transfers, and Special and Extraordinary Items of Proprietary Funds ",Transfers In (Out) Proprietary Funds,Cash and Investments: Governmental Funds ,Cash and Investments: General Fund ,Cash and Investments: Enterprise Funds 
Anderson,1956,8,"1,392","4,492",133.2146037,Council-Manager,General Law,10476,14.6,71.9,2,4.3,2.5,0.2,0,4.5,4.9,10,16.1,15.1,17.2,17.8,10.8,4,3.8,0.4,38915,48713,26.95,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Waste Management,,LOW,280,74.55,10,13.66,20.13,3.5,4.16,3.65,3.06,1.39,10,5,1406386,1359627,4767,4304,NULL,NULL,47222,,,1723331,1706571,21817,21671,NULL,-117718,16906,-117718,-6.96309003,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,10052693,5208768,9926422,5689186,126271,-480418,-117718,7355973,1430694,3495039
Angels Camp,1912,1,73.3,941,314.1339001,Council-Manager,General Law,3897,6.1,88.1,f,1,0.5,0,0,4.3,4,12.9,11,9,11.2,15.1,13.3,12.4,8,3,51444,71005,36.74,Y,2,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Cal-Waste Recovery Systems,,MODERATE,165,62.27,10,11.75,11.81,3.5,7.52,3.65,3.06,1.94,9.04,0,1740833,1489050,79974,0,NULL,-64200,331757,-64200,-0.19351513,2142827,2390286,370780,121614,NULL,NULL,1707,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,,,,,,,,,,
Antioch,1872,44,13641.4,626,17717.09265,Council-Manager,General Law,111535,33.6,29,19.8,0.2,10.6,0.9,0.3,5.7,4.3,4.4,7.5,7.3,10.5,18.2,13.2,19.9,8.5,6.3,71422,87590,69.72,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,1,,,1,1,City operated,1,Republic Services,,LOW,265,72.67,10,15,24.87,2.88,4.48,3.45,2.78,0.83,7.68,0.7,35694706,28824176,179851,5120,NULL,-236211,7045261,-236211,-0.03352764,6039158,7048773,62329,0,NULL,-223707,-947286,-223707,0.236155712,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,73301313,51453285,67410411,44899437,5890902,6553848,372692,60304011,33737318,63449999
Apple Valley,1988,4,"1,260","46,079",59.52603138,Council-Manager,General Law,73508,36.3,49.4,8.5,0.2,2.7,0,0,2.8,3.7,5.8,10.6,12,15,18.6,12,12.5,5.4,4.4,53023,74052,32.72,,,4,2,"IOU, Special District",6,5,"Liberty Utilities, GSWC, Apple Valley Ranchos Water Company, Apple Valley Foothill County Water District and Apple Valley Heights County Water District",#REF!,Yes,,,,,1,,,,,1,City operated,1,AVCO Disposal/Burrtec,,MODERATE,68,52.56,0.85,15,1.9,2.88,10,3.6,4.44,3.89,10,0, , , , , ,,,,,5547876,6320803,128053,0,NULL,NULL,-644874,,,11523158,11177511,118387,30621,NULL,NULL,433413,,, , , , , , ,,,, , , , , , ,,,,2,2,0,0,0,,,39320260,33842144,47138064,32253774,-7817804,1588370,436602,27546447,1164253,12632132
Arcadia,1903,3,8.5,696,8320.977011,Council-Manager,Charter,58610,12.3,21.9,1.6,0.3,60.6,0.3,0.2,2.8,5.5,2.6,5.6,6.6,9,13.1,11,19.3,11.4,15.9,92102,121326,56.93,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Waste Management,,MODERATE,135,59.57,10,14.41,16.44,2.75,0,3.2,2.22,0,10,0.55,13223624,17005371,151502,0,NULL,NULL,-3630245,,,2347364,1779385,12985,0,NULL,NULL,580964,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,69704472,16521636,68881633,20608466,822839,-4086830,1006826,64903078,27775761,26453249
Arcata,1858,24,951,702,2500.712251,Council-Manager,General Law,18257,16.5,71.7,2.3,1,2.2,0.4,0.5,5.5,14.3,11.4,15,12.8,12.2,12.3,6.4,7.9,5.1,2.6,31674,53483,74.02,N,,1,,,1,1,City operated,#REF!,No,,,,,,,,,,1,City operated,1,Recology,,LOW,294,76.39,10,15,21.49,2.88,6.88,3.75,4.17,2.22,10,0,5175737,3485459,12118,69258,NULL,-60000,1633138,-60000,-0.03673909,6033539,4488546,14279,22029,NULL,-60000,1537243,-60000,-0.03903091,447092,395931,1284,0,NULL,-35000,52445,-35000,-0.667365812, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,22028798,14720732,20841988,11723921,1186810,2996811,149890,15831138,7420642,14554348
Arroyo Grande,1911,6,110.3,760,2279.868421,Council-Manager,General Law,18087,17,74.1,0.8,0.7,4.4,0.7,0.1,2.2,2.8,3.9,9.1,5.5,9.2,15.7,13,20,12.2,8.7,80615,98764,47.55,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,South County Sanitary Service (part of San Luis Garbage with 4 other related companies that serve SLO county),,MODERATE,252,70.75,10,15,17.99,2.88,6.88,3.55,2.78,1.67,10,0,6987716,2078736,90106,1449,232499,-5230982,4997637,-4998483,-1.00016928,1002976,1095207,29743,892,NULL,-389961,-63380,-389961,6.152745346,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,19947203,8112298,21359582,6595855,-1412379,1516443,-1968873,18000025,9398203,6965463
Artesia,1959,0,,"9,993",67.61733213,Council-Manager,General Law,16750,39.8,16.8,2.9,0.3,36.6,0.4,0.2,3.1,4.2,2.4,8.6,9.8,13.8,21.9,11.2,15.2,7.4,5.4,63708,80452,66.87,,,4,2,"IOU, Other City",6,3,"GSWC, Liberty Utilities, and some Norwalk Water (other city)",#REF!,Yes,,,,,1,1,,,,1,County operated (Los County operated (Los Angeles County Consolidated Sewer Maintenance District),1,CR&R Environmental Services,,LOW,386,85.1,10,15,30,0,10,3.85,4.72,3.61,7.92,0, , , , , , ,,,,,,,,,,,,,0,0,0,0,NULL,-63702,0,-63702,#DIV/0!, , , , , , ,,,, , , , , , ,,,,1,1,0,0,0,,,9838051,698564,10256930,427941,-418879,270623,-757391,15320707,9314231,576129
Arvin,1960,9,"1,857","5,199",313.9642239,Council-Manager,General Law,21522,94.1,4.8,0.8,0.1,0,0,0,0.1,6.3,7.7,13.7,15.5,21.5,17.6,10.3,5.2,1.5,0.5,38214,47533,79.91,,,3,,,5,1,Arvin Community Services District,#REF!,,,,,,,,,,,1,Veolia Water,1,Mountainside Disposal,,MODERATE,56,50.8,0,11,0,2.75,10,4,4.44,3.61,10,5, , , , , , ,,,,2751414,2272558,647,201158,NULL,NULL,278345,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,1,0,0,0,,,10531182,3868344,10721970,3484252,-190788,384092,NULL,1736413,NULL,1494946
Atascadero,1979,3,"1,092","16,232",86.85312962,Council-Manager,General Law,30330,17.1,76.4,0.7,0.3,1.6,0.1,0.1,3.7,2.9,1.8,5.8,6.5,12.8,18.3,14.6,19.4,9.9,8.1,79610,97267,43.97,,,3,,,3,1,Atascadero Mutual Water Company,#REF!,,,,,,,,,,,1,City operated,1,Waste Management,,MODERATE,184,64.5,10,11.83,16.8,3.5,5.44,3.6,2.5,0.83,10,0, , , , , , ,,,,2024871,2471411,37797,0,NULL,NULL,-408743,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,1,0,0,0,,,28294940,4935173,27845797,5984878,449143,-1049705,36236,25396547,10191943,10699624
Atherton,1923,3,13,"1,242",478.6634461,Council-Manager,General Law,7187,4.8,70,0.9,0,20.5,0.1,0.3,3.4,1.8,1.2,4.6,0.7,4,3.2,2.4,9.3,7.5,65.3,"250,000+",525324,66.65,,,2,,,2,1,California Water Service,#REF!,No,,,,,,,,,,2,"West Bay Sanitary District, Fair Oaks Sanitation District",1,Recology (liscensed by South Bayside Waste Management Authority),,LOW,385,85.05,10,15,30,2.88,6.64,3.7,3.33,1.94,9.36,2.2, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,21774122,1534874,17449517,1540814,4324605,-5940,449258,45613199,21671331,NULL
Atwater,1922,26,1560.1,917,3114.721919,Council-Manager,General Law,29479,57.6,32.5,3.9,0.6,3.3,0.1,0,1.9,5.8,6.3,11.2,10.2,14.9,20.8,12.7,11.8,3.5,2.6,52542,63667,48.47,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,,1,1,,1,City operated,1,City operated,,HIGH,2,29.67,1.1,0,0,2.88,6.64,3.3,3.89,2.5,9.36,0,5955000,3970446,70878,707,NULL,-152375,2054725,-152375,-0.07415834,12542476,8020171,104836,1802248,NULL,NULL,2824893,,,4274756,3072286,6382,0,NULL,NULL,1208852,,, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,18685815,25385369,16024269,19320930,2661546,6064439,-152375,10459822,981142,19338793
Auburn,1888,7,681,"1,595",784.200627,Council-Manager,General Law,14103,10.3,83.8,0.2,0.1,2,0,0.3,3.4,5.5,6.6,10.4,11.1,8.9,16.9,10.7,13.9,8.4,7.7,62168,86278,47.19,,,3,,,5,1,Placer County Water Agency,#REF!,,,,,,,,,,,1,"City owned, operation and maintenance contracted to Operations Management International (OMI)",1,Recology,,MODERATE,226,68.16,10,12.91,18.38,3.25,5.2,3.7,3.33,1.39,10,0, , , , , , ,,,,6670886,5379447,59208,279491,NULL,-330000,1071156,-330000,-0.30807838,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,1,0,0,0,,,14385324,7593996,14866346,6465356,-481022,1128640,-330000,6833867,4703829,9269671
Avalon,1913,15,2160,586,535.3242321,Council-Manager,General Law,3723,59,39.6,0,0,0,0,0,1.3,6.8,1.7,10.2,8.3,10.2,19.8,13.9,18.9,2.7,7.5,69440,89324,52.24,,,2,,,2,1,So Cal Edison,#REF!,Yes,,,1,,1,1,1,1,,1,Contracted to Environ Strategy Consultants,1,CR&R Environmental Services,,LOW,411,88.38,10,15,27.23,5,9.68,3.7,4.44,3.33,10,0, , , , , , ,,,,2254442,1771730,0,65461,NULL,NULL,417251,,,1819743,1624235,10000,0,NULL,NULL,205508,,, , , , , , ,,,, , , , , , ,,,,2,2,0,0,0,,,10951313,13995392,11068889,16999496,-117576,-3004104,NULL,11659702,6171021,4218792
Avenal,1979,2,801,"4,137",219.5068891,Council-Manager,General Law,13218,83,11.6,3.4,0.7,0.4,0,0,0.8,8.5,7.4,14,13.7,13.6,25.9,10.3,6.1,0.6,0,41709,46914,71.59,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,1,1,1,1,1,City operated,1,Mid Valley Disposal,,LOW,353,82.53,10,11.33,30,2.25,10,3.85,3.61,3.33,8.16,0,2596779,2868711,49618,191713,14352,NULL,-414027,14352,-0.03466441,1547615,2141165,4459,0,56707,NULL,-589091,56707,-0.09626187,670807,727284,13599,0,132827,NULL,-42878,132827,-3.097789076, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,5805826,4942080,6428765,5997424,-622939,-1055344,203886,7615018,5199081,6258385
Azusa,1898,10,1213.2,863,5688.876014,Council-Manager,General Law,49958,63.6,18.8,3.1,0.2,12.1,0.1,0.1,1.9,3.8,3.7,8.5,10.5,14.7,20.1,12.2,16.8,5.9,3.8,60227,77355,67.43,N,,1,,,1,1,City operated (service extended to other cities),#REF!,Yes,1,1,,1,1,,1,1,,1,City operated,1,Athens Services,,MODERATE,125,58.63,10,10.41,10.26,1.63,7.44,3.7,3.61,2.22,9.36,0,22028440,20203669,538490,2349974,NULL,-249960,13287,-249960,-18.812373,2979516,2443078,77196,187381,NULL,-119004,426253,-119004,-0.2791863,3885635,3741695,704965,0,NULL,-823512,848905,-823512,-0.970087348,36620020,29907206,446160,3411014,655829,-1104291,3747960,-448462,-0.119654959, , , , , , ,,,,3,4,1,1,0,,,48409678,80004780,52393511,75335666,-3983833,4669114,-2031610,28698493,9843848,49185791
Bakersfield,1898,316,"52,016","4,836",7831.741108,Council-Manager,Charter,383579,49.5,33.5,7,0.3,7.2,0.2,0.2,2.1,5.6,4.8,8.6,9.2,12.5,18.1,12.8,15.9,6.7,5.8,62340,81610,44.05,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,,1,1,,1,City operated,7,"City operated and other franchise haulers (Howard's Garbage Service, Price Environmental, Superior Sanitation, Valley Garbage, Varner and Son Inc, Varner Brothers Inc)",,MODERATE,111,57.47,10,11.83,7.38,2.63,5.36,3.4,3.33,1.39,10,2.15,34657391,31746585,54886191,1652857,NULL,-539729,56144140,-539729,-0.00961327,41306499,35519003,1049991,6421963,NULL,-132310,415524,-132310,-0.31841723,46688228,48794306,5008699,0,NULL,-1360615,2902621,-1360615,-0.46875393, , , , , ,,,,, , , , , , ,,,,2,3,1,1,0,,,334000000,221000000,332000000,165000000,2166460,56558375,265005,153000000,28189169,180000000
